shipments,trackstart,trackend,day,volume
Company_A_3_2,4,9,10,0
Company_A_3_2,4,10,11,0
Company_A_3_2,4,12,15,0
Company_A_3_2,4,13,14,0
Company_A_3_2,4,14,15,0
Company_A_3_2,5,1,3,0
Company_A_3_2,5,1,4,0
Company_A_3_2,5,1,8,0
Company_A_3_2,5,2,5,0
Company_A_3_2,5,3,5,0
Company_A_3_2,5,3,7,0
Company_A_3_2,5,3,14,0
Company_A_3_2,5,4,6,0
Company_A_3_2,5,4,8,0
Company_A_3_2,5,4,12,0
Company_A_3_2,5,5,7,0
Company_A_3_2,5,5,14,0
Company_A_3_2,5,6,7,0
Company_A_3_2,5,6,9,0
Company_A_3_2,5,6,15,0
Company_A_3_2,5,7,13,0
Company_A_3_2,5,8,9,0
Company_A_3_2,5,9,10,0
Company_A_3_2,5,10,11,0
Company_A_3_2,5,12,15,0
Company_A_3_2,5,13,14,0
Company_A_3_2,5,14,15,0
Company_A_3_2,6,1,3,0
Company_A_3_2,6,1,4,0
Company_A_3_2,6,1,8,0
Company_A_3_2,6,2,5,0
Company_A_3_2,6,3,5,0
Company_A_3_2,6,3,7,0
Company_A_3_2,6,3,14,0
Company_A_3_2,6,4,6,0
Company_A_3_2,6,4,8,0
Company_A_3_2,6,4,12,0
Company_A_3_2,6,5,7,0
Company_A_3_2,6,5,14,0
Company_A_3_2,6,6,7,0
Company_A_3_2,6,6,9,0
Company_A_3_2,6,6,15,0
Company_A_3_2,6,7,13,0
Company_A_3_2,6,8,9,0
Company_A_3_2,6,9,10,0
Company_A_3_2,6,10,11,0
Company_A_3_2,6,12,15,0
Company_A_3_2,6,13,14,0
Company_A_3_2,6,14,15,0
Company_A_3_2,7,1,3,0
Company_A_3_2,7,1,4,0
Company_A_3_2,7,1,8,0
Company_A_3_2,7,2,5,0
Company_A_3_2,7,3,5,0
Company_A_3_2,7,3,7,0
Company_A_3_2,7,3,14,0
Company_A_3_2,7,4,6,0
Company_A_3_2,7,4,8,0
Company_A_3_2,7,4,12,0
Company_A_3_2,7,5,7,0
Company_A_3_2,7,5,14,0
Company_A_3_2,7,6,7,0
Company_A_3_2,7,6,9,0
Company_A_3_2,7,6,15,0
Company_A_3_2,7,7,13,0
Company_A_3_2,7,8,9,0
Company_A_3_2,7,9,10,0
Company_A_3_2,7,10,11,0
Company_A_3_2,7,12,15,0
Company_A_3_2,7,13,14,0
Company_A_3_2,7,14,15,0
Company_A_3_2,8,1,3,0
Company_A_3_2,8,1,4,0
Company_A_3_2,8,1,8,0
Company_A_3_2,8,2,5,0
Company_A_3_2,8,3,5,0
Company_A_3_2,8,3,7,0
Company_A_3_2,8,3,14,0
Company_A_3_2,8,4,6,0
Company_A_3_2,8,4,8,0
Company_A_3_2,8,4,12,0
Company_A_3_2,8,5,7,0
Company_A_3_2,8,5,14,0
Company_A_3_2,8,6,7,0
Company_A_3_2,8,6,9,0
Company_A_3_2,8,6,15,0
Company_A_3_2,8,7,13,0
Company_A_3_2,8,8,9,0
Company_A_3_2,8,9,10,0
Company_A_3_2,8,10,11,0
Company_A_3_2,8,12,15,0
Company_A_3_2,8,13,14,0
Company_A_3_2,8,14,15,0
Company_A_3_2,9,1,3,0
Company_A_3_2,9,1,4,0
Company_A_3_2,9,1,8,0
Company_A_3_2,9,2,5,0
Company_A_3_2,9,3,5,0
Company_A_3_2,9,3,7,0
Company_A_3_2,9,3,14,0
Company_A_3_2,9,4,6,0
Company_A_3_2,9,4,8,0
Company_A_3_2,9,4,12,0
Company_A_3_2,9,5,7,0
Company_A_3_2,9,5,14,0
Company_A_3_2,9,6,7,0
Company_A_3_2,9,6,9,0
Company_A_3_2,9,6,15,0
Company_A_3_2,9,7,13,0
Company_A_3_2,9,8,9,0
Company_A_3_2,9,9,10,0
Company_A_3_2,9,10,11,0
Company_A_3_2,9,12,15,0
Company_A_3_2,9,13,14,0
Company_A_3_2,9,14,15,0
Company_A_3_2,10,1,3,0
Company_A_3_2,10,1,4,0
Company_A_3_2,10,1,8,0
Company_A_3_2,10,2,5,0
Company_A_3_2,10,3,5,0
Company_A_3_2,10,3,7,0
Company_A_3_2,10,3,14,0
Company_A_3_2,10,4,6,0
Company_A_3_2,10,4,8,0
Company_A_3_2,10,4,12,0
Company_A_3_2,10,5,7,0
Company_A_3_2,10,5,14,0
Company_A_3_2,10,6,7,0
Company_A_3_2,10,6,9,0
Company_A_3_2,10,6,15,0
Company_A_3_2,10,7,13,0
Company_A_3_2,10,8,9,0
Company_A_3_2,10,9,10,0
Company_A_3_2,10,10,11,0
Company_A_3_2,10,12,15,0
Company_A_3_2,10,13,14,0
Company_A_3_2,10,14,15,0
Company_A_3_2,11,1,3,0
Company_A_3_2,11,1,4,0
Company_A_3_2,11,1,8,0
Company_A_3_2,11,2,5,0
Company_A_3_2,11,3,5,0
Company_A_3_2,11,3,7,0
Company_A_3_2,11,3,14,0
